,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
0,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter africanus',greening of citrus,greening of citrus,en,
1,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter africanus',greening des agrumes,greening des agrumes,fr,
2,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter africanus',virescence des agrumes,vir\wscence des agrumes,fr,
3,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter africanus',enverdecimiento de los cítricos,enverdecimiento de los c\wtricos,es,
4,LIBEAM,,,'Candidatus Liberibacter americanus',Brazilian citrus greening,,en,
5,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',blotchy mottle disease of citrus,blotchy mottle disease of citrus,en,
6,LIBEAS,,,'Candidatus Liberibacter asiaticus',citrus dieback,,en,
7,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',decline of citrus,decline of citrus,en,
8,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',greening of citrus,greening of citrus,en,
9,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',huanglongbing,huanglongbin\w*,en,
10,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',leaf mottling of citrus,leaf mottling of citrus,en,
11,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',likubin,likubin\w*,en,
12,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',vein phloem degeneration of citrus deactivated,vein phloem degeneration of citrus,en,
13,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',yellow branch of citrus,yellow branch\w* of citrus,en,
14,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',yellow shoot disease,yellow shoot,en,
15,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',yellow shoot of citrus,yellow shoot of citrus,en,
16,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',greening des agrumes,greening des agrumes,fr,
17,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',enverdecimiento de los cítricos,enverdecimiento de los c\wtricos,es,
18,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',黃龍病,黃龍病,zh,
19,CORBFL,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of bean,bacterial tan spot of bean,en,
20,CORBFL,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of soybean,bacterial tan spot of soybean,en,
21,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of bean,bacterial wilt,en,
22,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of common bean,bacterial wilt,en,
23,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of dry beans,bacterial wilt,en,
24,CORBFL,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,vascular wilt of bean,vascular wilt of bean,en,
25,CORBFL,,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,Bakterielle Welke: Bohne,,de,
26,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bactériose vasculaire du haricot,bact\wriose vasculaire,fr,
27,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,flétrissement bactérien du haricot,fl\wtrissement bact\wrien,fr,
28,CORBFL,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacteriosis vascular de la judía,bacteriosis vascular de la jud\wa,es,
29,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la judía,marchitez bacteriana,es,
30,CORBFL,RalstoniaSolanacearum-PHT,ncbi:138532,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la soja,marchitez bacteriana,es,
31,ERWIST,PantoeaStewartii-PHT,ncbi:66271,Pantoea stewartii subsp. stewartii,bacterial leaf blight of maize,bacterial leaf blight of maize,en,
32,ERWIST,RalstoniaSolanacearum-PHT,ncbi:66271,Pantoea stewartii subsp. stewartii,bacterial wilt of maize,bacterial wilt,en,
33,ERWIST,PantoeaStewartii-PHT,ncbi:66271,Pantoea stewartii subsp. stewartii,jackfruit bronzing,jackfruit bronzing,en,
34,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,Stewart's disease,,en,
35,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,Stewart's wilt of maize,,en,
36,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,bakterielle Kolbenkrankheit: Mais,,de,
37,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,Bakterienwelke: Mais,,de,
38,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,Stewart'sche Krankheit: Mais,,de,
39,ERWIST,RalstoniaSolanacearum-PHT,ncbi:66271,Pantoea stewartii subsp. stewartii,flétrissement bactérien du maïs,fl\wtrissement bact\wrien,fr,
40,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,maladie de Stewart,,fr,
41,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,enfermedad de Stewart,,es,
42,ERWIST,RalstoniaSolanacearum-PHT,ncbi:66271,Pantoea stewartii subsp. stewartii,marchitez bacteriana del maíz,marchitez bacteriana,es,
43,ERWIST,,ncbi:66271,Pantoea stewartii subsp. stewartii,Бактериальное увядание (вилт) кукурузы,,ru,
44,RALSPS,RalstoniaSolanacearum-PHT,,Ralstonia pseudosolanacearum,bacterial wilt,bacterial wilt,en,
45,RALSPS,RalstoniaPseudosolanacearum-PHT,,Ralstonia pseudosolanacearum,doença do mal murcho,doenç\w do mal murcho,pt,
46,RALSSC,RalstoniaSyzygiiSubspCelebesensis-PHT,,Ralstonia syzygii subsp. celebesensis,banana blood disease,banana\w* blood disease,en,
47,RALSSI,,,Ralstonia syzygii subsp. indonesiensis,nan,,,
48,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,bacterial blight of rice,bacterial blight of rice,en,
49,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,bacterial leaf blight of rice,bacterial leaf blight of rice,en,
50,XANTOR,,ncbi:64187,Xanthomonas oryzae pv. oryzae,BLB,,en,
51,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,kresek disease of rice,kresek disease of rice,en,
52,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,leaf blight of rice,leaf blight of rice,en,
53,XANTOR,,ncbi:64187,Xanthomonas oryzae pv. oryzae,bakterieller Blattbrand: Reis,,de,
54,XANTOR,,ncbi:64187,Xanthomonas oryzae pv. oryzae,bakterielle Weißfleckenkrankheit: Reis,,de,
55,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,bactériose des feuilles du riz,bact\wriose des feuilles du riz,fr,
56,XANTOR,,ncbi:64187,Xanthomonas oryzae pv. oryzae,maladie bactérienne des feuilles de riz,,fr,
57,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,enfermedad bacteriana de las hojas del arroz,enfermedad bacteriana de las hojas del arroz,es,
58,XANTOR,XanthomonasOryzae-PHT,ncbi:64187,Xanthomonas oryzae pv. oryzae,Бактериальный ожог риса,Бактериальный ожог риса,ru,
59,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,bacterial leaf streak of rice,bacterial leaf streak of rice,en,
60,XANTTO,,ncbi:129394,Xanthomonas oryzae pv. oryzicola,bLS,,en,
61,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,leaf streak of rice,leaf streak of rice,en,
62,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,brûlure bactérienne du riz,br\wlure bact\wrienne du riz,fr,
63,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,stries bactériennes du riz,stries bact\wriennes du riz,fr,
64,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,estrias bacterianas del arroz,estrias bacterianas del arroz,es,
65,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,quemaduras bacterianas del arroz,quemaduras bacterianas del arroz,es,
66,XANTTO,XanthomonasOryzae-PHT,ncbi:129394,Xanthomonas oryzae pv. oryzicola,Бактериальная полосатость риса,Бактериальная полосатость риса,ru,
67,XANTAU,,ncbi:76802,Xanthomonas citri pv. aurantifolii,cancrosis B (B strains),,en,
68,XANTAU,XanthomonasCitriAurantifolii-PHT,ncbi:76802,Xanthomonas citri pv. aurantifolii,citrus bacteriosis (D strains),citrus bacteriosis,en,
69,XANTAU,XanthomonasCitriCitri-PHT,ncbi:76802,Xanthomonas citri pv. aurantifolii,citrus canker,citrus canker,en,
70,XANTAU,XanthomonasCitriAurantifolii-PHT,ncbi:76802,Xanthomonas citri pv. aurantifolii,false canker (B strains),false canker,en,
71,XANTAU,,ncbi:76802,Xanthomonas citri pv. aurantifolii,Mexican lime cancrosis (C strains),,en,
72,XANTAU,,ncbi:76802,Xanthomonas citri pv. aurantifolii,South American canker,,en,
73,XANTAU,XanthomonasCitriCitri-PHT,ncbi:76802,Xanthomonas citri pv. aurantifolii,chancre citrique,chancre citrique,fr,
74,XANTCI,,,Xanthomonas citri pv. citri,Asiatic canker,,en,
75,XANTCI,,,Xanthomonas citri pv. citri,Asiatic citrus canker (A strains),,en,
76,XANTCI,XanthomonasCitriCitri-PHT,,Xanthomonas citri pv. citri,bacterial canker of citrus,bacterial canker of citrus,en,
77,XANTCI,,,Xanthomonas citri pv. citri,cancrosis A (A strains),,en,
78,XANTCI,XanthomonasCitriCitri-PHT,,Xanthomonas citri pv. citri,citrus canker,citrus canker,en,
79,XANTCI,,,Xanthomonas citri pv. citri,Bakterienkrebs: Zitrus,,de,
80,XANTCI,,,Xanthomonas citri pv. citri,Zitruskrebs,,de,
81,XANTCI,XanthomonasCitriCitri-PHT,,Xanthomonas citri pv. citri,bactériose des agrumes,bact\wriose des agrumes,fr,
