,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
0,LIBEAF,TESTTTTTTGREEN_PHT,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',greening of citrus,green,en,
1,LIBEAF,TESTTTTTTGREEN_PHT,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',greening des agrumes,green,fr,
2,LIBEAF,,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',virescence des agrumes,,fr,
3,LIBEAF,,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',enverdecimiento de los cítricos,,es,
4,LIBEAM,,,'Candidatus Liberibacter americanus',Brazilian citrus greening,,en,
5,LIBEAS,,,'Candidatus Liberibacter asiaticus',blotchy mottle disease of citrus,,en,
6,LIBEAS,,,'Candidatus Liberibacter asiaticus',citrus dieback,,en,
7,LIBEAS,,,'Candidatus Liberibacter asiaticus',decline of citrus,,en,
8,LIBEAS,TESTTTTTTGREEN_PHT,,'Candidatus Liberibacter asiaticus',greening of citrus,green,en,
9,LIBEAS,,,'Candidatus Liberibacter asiaticus',huanglongbing,,en,
10,LIBEAS,,,'Candidatus Liberibacter asiaticus',leaf mottling of citrus,,en,
11,LIBEAS,,,'Candidatus Liberibacter asiaticus',likubin,,en,
12,LIBEAS,,,'Candidatus Liberibacter asiaticus',vein phloem degeneration of citrus deactivated,,en,
13,LIBEAS,,,'Candidatus Liberibacter asiaticus',yellow branch of citrus,,en,
14,LIBEAS,,,'Candidatus Liberibacter asiaticus',yellow shoot disease,,en,
15,LIBEAS,,,'Candidatus Liberibacter asiaticus',yellow shoot of citrus,,en,
16,LIBEAS,TESTTTTTTGREEN_PHT,,'Candidatus Liberibacter asiaticus',greening des agrumes,green,fr,
17,LIBEAS,,,'Candidatus Liberibacter asiaticus',enverdecimiento de los cítricos,,es,
18,LIBEAS,,,'Candidatus Liberibacter asiaticus',黃龍病,,zh,
19,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of bean,,en,
20,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of soybean,,en,
21,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of bean,,en,
22,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of common bean,,en,
23,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of dry beans,,en,
24,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,vascular wilt of bean,,en,
25,LIBEAF,,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',Citrus greening bacterium (heat-sensitive strain),,,
26,LIBEAF,,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',Liberibacter africanum,,,
27,LIBEAF,,TEEEEEEEST TAXID,'Candidatus Liberibacter africanus',Liberibacter africanus,,,
28,LIBEAM,,,'Candidatus Liberibacter americanus',Liberibacter americanus,,,
29,LIBEAS,,,'Candidatus Liberibacter asiaticus',Citrus greening bacterium (heat-tolerant strain),,,
30,LIBEAS,,,'Candidatus Liberibacter asiaticus',Liberibacter asiaticum,,,
31,LIBEAS,,,'Candidatus Liberibacter asiaticus',Liberibacter asiaticus,,,
32,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Bacterium flaccumfaciens,,,
33,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Corynebacterium flaccumfaciens,,,
34,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Corynebacterium flaccumfaciens pv. flaccumfaciens,,,
35,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Phytomonas flaccumfaciens,,,
36,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Pseudomonas flaccumfaciens,,,
37,ERWIST,,,Pantoea stewartii subsp. stewartii,Aplanobacter stewartii,,,
38,,AcaloleptaSejuncta-PHT,,,Aplanobacter stewartii,acalolepta sejuncta,,
39,,AcalymmaVittatum-PHT,,,Aplanobacter stewartii,acalymma vittata,,
40,,TESTTTTTT_PHT,,,Aplanobacter stewartii,cand,,
