,EPPO_CODE,preferred_name,synonym,ds_language,EFSA_PHT,re,match_language,NCBI_TAXID
0,LIBEAF,'Candidatus Liberibacter africanus',greening of citrus,en,,,,
1,LIBEAF,'Candidatus Liberibacter africanus',greening des agrumes,fr,,,,
2,LIBEAF,'Candidatus Liberibacter africanus',virescence des agrumes,fr,,,,
3,LIBEAF,'Candidatus Liberibacter africanus',enverdecimiento de los cítricos,es,,,,
4,LIBEAM,'Candidatus Liberibacter americanus',Brazilian citrus greening,en,,,,
5,LIBEAS,'Candidatus Liberibacter asiaticus',blotchy mottle disease of citrus,en,,,,
6,LIBEAS,'Candidatus Liberibacter asiaticus',citrus dieback,en,,,,
7,LIBEAS,'Candidatus Liberibacter asiaticus',decline of citrus,en,,,,
8,LIBEAS,'Candidatus Liberibacter asiaticus',greening of citrus,en,,,,
9,LIBEAS,'Candidatus Liberibacter asiaticus',huanglongbing,en,,,,
10,LIBEAS,'Candidatus Liberibacter asiaticus',leaf mottling of citrus,en,,,,
11,LIBEAS,'Candidatus Liberibacter asiaticus',likubin,en,,,,
12,LIBEAS,'Candidatus Liberibacter asiaticus',vein phloem degeneration of citrus deactivated,en,,,,
13,LIBEAS,'Candidatus Liberibacter asiaticus',yellow branch of citrus,en,,,,
14,LIBEAS,'Candidatus Liberibacter asiaticus',yellow shoot disease,en,,,,
15,LIBEAS,'Candidatus Liberibacter asiaticus',yellow shoot of citrus,en,,,,
16,LIBEAS,'Candidatus Liberibacter asiaticus',greening des agrumes,fr,,,,
17,LIBEAS,'Candidatus Liberibacter asiaticus',enverdecimiento de los cítricos,es,,,,
18,LIBEAS,'Candidatus Liberibacter asiaticus',黃龍病,zh,,,,
19,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of bean,en,,,,
20,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of soybean,en,,,,
21,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of bean,en,,,,
22,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of common bean,en,,,,
23,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of dry beans,en,,,,
24,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,vascular wilt of bean,en,,,,
25,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,Bakterielle Welke: Bohne,de,,,,
26,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bactériose vasculaire du haricot,fr,,,,
27,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,flétrissement bactérien du haricot,fr,,,,
28,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacteriosis vascular de la judía,es,,,,
29,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la judía,es,,,,
30,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la soja,es,,,,
31,ERWIST,Pantoea stewartii subsp. stewartii,bacterial leaf blight of maize,en,,,,
32,ERWIST,Pantoea stewartii subsp. stewartii,bacterial wilt of maize,en,,,,
33,ERWIST,Pantoea stewartii subsp. stewartii,jackfruit bronzing,en,,,,
34,ERWIST,Pantoea stewartii subsp. stewartii,Stewart's disease,en,,,,
35,ERWIST,Pantoea stewartii subsp. stewartii,Stewart's wilt of maize,en,,,,
36,ERWIST,Pantoea stewartii subsp. stewartii,bakterielle Kolbenkrankheit: Mais,de,,,,
37,ERWIST,Pantoea stewartii subsp. stewartii,Bakterienwelke: Mais,de,,,,
38,ERWIST,Pantoea stewartii subsp. stewartii,Stewart'sche Krankheit: Mais,de,,,,
39,ERWIST,Pantoea stewartii subsp. stewartii,flétrissement bactérien du maïs,fr,,,,
40,ERWIST,Pantoea stewartii subsp. stewartii,maladie de Stewart,fr,,,,
41,ERWIST,Pantoea stewartii subsp. stewartii,enfermedad de Stewart,es,,,,
42,ERWIST,Pantoea stewartii subsp. stewartii,marchitez bacteriana del maíz,es,,,,
43,ERWIST,Pantoea stewartii subsp. stewartii,Бактериальное увядание (вилт) кукурузы,ru,,,,
44,RALSPS,Ralstonia pseudosolanacearum,bacterial wilt,en,,,,
45,RALSPS,Ralstonia pseudosolanacearum,doença do mal murcho,pt,,,,
46,RALSSC,Ralstonia syzygii subsp. celebesensis,banana blood disease,en,,,,
47,RALSSI,Ralstonia syzygii subsp. indonesiensis,,,,,,
48,XANTOR,Xanthomonas oryzae pv. oryzae,bacterial blight of rice,en,,,,
49,XANTOR,Xanthomonas oryzae pv. oryzae,bacterial leaf blight of rice,en,,,,
50,XANTOR,Xanthomonas oryzae pv. oryzae,BLB,en,,,,
51,XANTOR,Xanthomonas oryzae pv. oryzae,kresek disease of rice,en,,,,
52,XANTOR,Xanthomonas oryzae pv. oryzae,leaf blight of rice,en,,,,
53,XANTOR,Xanthomonas oryzae pv. oryzae,bakterieller Blattbrand: Reis,de,,,,
54,XANTOR,Xanthomonas oryzae pv. oryzae,bakterielle Weißfleckenkrankheit: Reis,de,,,,
55,XANTOR,Xanthomonas oryzae pv. oryzae,bactériose des feuilles du riz,fr,,,,
56,XANTOR,Xanthomonas oryzae pv. oryzae,maladie bactérienne des feuilles de riz,fr,,,,
57,XANTOR,Xanthomonas oryzae pv. oryzae,enfermedad bacteriana de las hojas del arroz,es,,,,
58,XANTOR,Xanthomonas oryzae pv. oryzae,Бактериальный ожог риса,ru,,,,
59,XANTTO,Xanthomonas oryzae pv. oryzicola,bacterial leaf streak of rice,en,,,,
60,XANTTO,Xanthomonas oryzae pv. oryzicola,bLS,en,,,,
61,XANTTO,Xanthomonas oryzae pv. oryzicola,leaf streak of rice,en,,,,
62,XANTTO,Xanthomonas oryzae pv. oryzicola,brûlure bactérienne du riz,fr,,,,
63,XANTTO,Xanthomonas oryzae pv. oryzicola,stries bactériennes du riz,fr,,,,
64,XANTTO,Xanthomonas oryzae pv. oryzicola,estrias bacterianas del arroz,es,,,,
65,XANTTO,Xanthomonas oryzae pv. oryzicola,quemaduras bacterianas del arroz,es,,,,
66,XANTTO,Xanthomonas oryzae pv. oryzicola,Бактериальная полосатость риса,ru,,,,
67,XANTAU,Xanthomonas citri pv. aurantifolii,cancrosis B (B strains),en,,,,
68,XANTAU,Xanthomonas citri pv. aurantifolii,citrus bacteriosis (D strains),en,,,,
69,XANTAU,Xanthomonas citri pv. aurantifolii,citrus canker,en,,,,
70,XANTAU,Xanthomonas citri pv. aurantifolii,false canker (B strains),en,,,,
71,XANTAU,Xanthomonas citri pv. aurantifolii,Mexican lime cancrosis (C strains),en,,,,
72,XANTAU,Xanthomonas citri pv. aurantifolii,South American canker,en,,,,
73,XANTAU,Xanthomonas citri pv. aurantifolii,chancre citrique,fr,,,,
74,XANTCI,Xanthomonas citri pv. citri,Asiatic canker,en,,,,
75,XANTCI,Xanthomonas citri pv. citri,Asiatic citrus canker (A strains),en,,,,
76,XANTCI,Xanthomonas citri pv. citri,bacterial canker of citrus,en,,,,
77,XANTCI,Xanthomonas citri pv. citri,cancrosis A (A strains),en,,,,
78,XANTCI,Xanthomonas citri pv. citri,citrus canker,en,,,,
79,XANTCI,Xanthomonas citri pv. citri,Bakterienkrebs: Zitrus,de,,,,
80,XANTCI,Xanthomonas citri pv. citri,Zitruskrebs,de,,,,
81,XANTCI,Xanthomonas citri pv. citri,bactériose des agrumes,fr,,,,
82,XANTCI,Xanthomonas citri pv. citri,chancre bactérien des agrumes,fr,,,,
83,XANTCI,Xanthomonas citri pv. citri,chancre citrique,fr,,,,
84,XANTCI,Xanthomonas citri pv. citri,chancre des agrumes,fr,,,,
85,XANTCI,Xanthomonas citri pv. citri,bacteriosis del limonero,es,,,,
86,XANTCI,Xanthomonas citri pv. citri,cancrosis asiática (A),es,,,,
87,XANTCI,Xanthomonas citri pv. citri,cancrosis de los cítricos,es,,,,
88,XANTCI,Xanthomonas citri pv. citri,cancro batterico degli agrumi,it,,,,
89,XANTCI,Xanthomonas citri pv. citri,cancro-cítrico,pt,,,,
90,XANTCI,Xanthomonas citri pv. citri,рак цитрусовых,ru,,,,
91,CRSPAN,Anisogramma anomala,blight of hazel,en,,,,
92,CRSPAN,Anisogramma anomala,eastern blight of filbert,en,,,,
93,CRSPAN,Anisogramma anomala,brûlure orientale du noisetier,fr,,,,
94,DIBOMO,Apiosporina morbosa,black knot of cherry,en,,,,
95,DIBOMO,Apiosporina morbosa,black knot of plum,en,,,,
96,DIBOMO,Apiosporina morbosa,black knot of stone fruits,en,,,,
