,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
0,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,ncbi:34020,'Candidatus Liberibacter africanus',greening of citrus,greening of citrus,en,
1,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,ncbi:34020,'Candidatus Liberibacter africanus',greening des agrumes,greening des agrumes,fr,
2,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,ncbi:34020,'Candidatus Liberibacter africanus',virescence des agrumes,vir\wscence des agrumes,fr,
3,LIBEAF,LiberibacterAfricanusAsiaticusAmericanus-PHT,ncbi:34020,'Candidatus Liberibacter africanus',enverdecimiento de los cítricos,enverdecimiento de los c\wtricos,es,
4,LIBEAM,,NCBI:99999,'Candidatus Liberibacter americanus',Brazilian citrus greening,,en,
5,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',blotchy mottle disease of citrus,blotchy mottle disease of citrus,en,
6,LIBEAS,,,'Candidatus Liberibacter asiaticus',citrus dieback,,en,
7,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',decline of citrus,decline of citrus,en,
8,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,ncbi:34020,'Candidatus Liberibacter africanus',greening of citrus,greening of citrus,en,
9,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',huanglongbing,huanglongbin\w*,en,
10,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',leaf mottling of citrus,leaf mottling of citrus,en,
11,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',likubin,likubin\w*,en,
12,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',vein phloem degeneration of citrus deactivated,vein phloem degeneration of citrus,en,
13,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',yellow branch of citrus,yellow branch\w* of citrus,en,
14,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',yellow shoot disease,yellow shoot,en,
15,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',yellow shoot of citrus,yellow shoot of citrus,en,
16,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',greening des agrumes,greening des agrumes,fr,
17,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',enverdecimiento de los cítricos,enverdecimiento de los c\wtricos,es,
18,LIBEAS,LiberibacterAfricanusAsiaticusAmericanus-PHT,,'Candidatus Liberibacter asiaticus',黃龍病,黃龍病,zh,
19,CORBFL,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of bean,bacterial tan spot of bean,en,
20,CORBFL,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of soybean,bacterial tan spot of soybean,en,
21,CORBFL,RalstoniaSolanacearum-PHT,,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of bean,bacterial wilt,en,
22,LIBEAF,,ncbi:34020,'Candidatus Liberibacter africanus',Citrus greening bacterium (heat-sensitive strain),,,
23,LIBEAF,,ncbi:34020,'Candidatus Liberibacter africanus',Liberibacter africanum,,,
24,LIBEAF,,ncbi:34020,'Candidatus Liberibacter africanus',Liberibacter africanus,,,
25,LIBEAM,,NCBI:99999,'Candidatus Liberibacter americanus',Liberibacter americanus,,,
