,synonym,ds_language,NCBI_TAXID,preferred_name,re,match_language,EFSA_PHT,EPPO_CODE
0,greening of citrus,en,,'Candidatus Liberibacter africanus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF', 'LIBEAS')"
1,greening of citrus,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF', 'LIBEAS')"
4,greening des agrumes,fr,,'Candidatus Liberibacter africanus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF', 'LIBEAS')"
5,greening des agrumes,fr,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF', 'LIBEAS')"
8,virescence des agrumes,fr,,'Candidatus Liberibacter africanus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF',)"
10,enverdecimiento de los cítricos,es,,'Candidatus Liberibacter africanus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF', 'LIBEAS')"
11,enverdecimiento de los cítricos,es,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAF', 'LIBEAS')"
14,Brazilian citrus greening,en,,'Candidatus Liberibacter americanus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAM',)"
16,blotchy mottle disease of citrus,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
18,decline of citrus,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
20,huanglongbing,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
22,leaf mottling of citrus,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
24,likubin,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
26,vein phloem degeneration of citrus deactivated,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
28,yellow branch of citrus,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
30,yellow shoot disease,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
32,yellow shoot of citrus,en,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
34,黃龍病,zh,,'Candidatus Liberibacter asiaticus',,,"('LiberibacterAfricanusAsiaticusAmericanus-PHT',)","('LIBEAS',)"
36,bacterial tan spot of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT',)","('CORBFL',)"
38,bacterial tan spot of soybean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT',)","('CORBFL',)"
40,bacterial wilt of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT', 'CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT')","('CORBFL',)"
43,bacterial wilt of common bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT',)","('CORBFL',)"
45,bacterial wilt of dry beans,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT',)","('CORBFL',)"
47,vascular wilt of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT',)","('CORBFL',)"
49,bactériose vasculaire du haricot,fr,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT', 'CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT')","('CORBFL',)"
52,flétrissement bactérien du haricot,fr,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT', 'CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT')","('CORBFL',)"
55,bacteriosis vascular de la judía,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT',)","('CORBFL',)"
57,marchitez bacteriana de la judía,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT', 'CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT')","('CORBFL',)"
60,marchitez bacteriana de la soja,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,"('RalstoniaSolanacearum-PHT', 'CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT')","('CORBFL',)"
63,bacterial leaf blight of maize,en,,Pantoea stewartii subsp. stewartii,,,"('PantoeaStewartii-PHT',)","('ERWIST',)"
65,bacterial wilt of maize,en,,Pantoea stewartii subsp. stewartii,,,"('RalstoniaSolanacearum-PHT', 'PantoeaStewartii-PHT')","('ERWIST',)"
68,jackfruit bronzing,en,,Pantoea stewartii subsp. stewartii,,,"('PantoeaStewartii-PHT',)","('ERWIST',)"
70,Bakterienwelke: Mais,de,,Pantoea stewartii subsp. stewartii,,,"('RalstoniaSolanacearum-PHT', 'PantoeaStewartii-PHT')","('ERWIST',)"
73,flétrissement bactérien du maïs,fr,,Pantoea stewartii subsp. stewartii,,,"('RalstoniaSolanacearum-PHT', 'PantoeaStewartii-PHT')","('ERWIST',)"
76,maladie de Stewart,fr,,Pantoea stewartii subsp. stewartii,,,"('PantoeaStewartii-PHT',)","('ERWIST',)"
