,EPPO_CODE,preferred_name,synonym,ds_language,pivot,EFSA_PHT
0,LIBEAF,'Candidatus Liberibacter africanus',greening of citrus,en,greening of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
2,LIBEAS,'Candidatus Liberibacter asiaticus',greening of citrus,en,greening of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
4,LIBEAF,'Candidatus Liberibacter africanus',greening des agrumes,fr,greening des agrumes,LiberibacterAfricanusAsiaticusAmericanus-PHT
6,LIBEAS,'Candidatus Liberibacter asiaticus',greening des agrumes,fr,greening des agrumes,LiberibacterAfricanusAsiaticusAmericanus-PHT
8,LIBEAF,'Candidatus Liberibacter africanus',virescence des agrumes,fr,virescence des agrumes,LiberibacterAfricanusAsiaticusAmericanus-PHT
9,LIBEAF,'Candidatus Liberibacter africanus',enverdecimiento de los cítricos,es,enverdecimiento de los cítricos,LiberibacterAfricanusAsiaticusAmericanus-PHT
11,LIBEAS,'Candidatus Liberibacter asiaticus',enverdecimiento de los cítricos,es,enverdecimiento de los cítricos,LiberibacterAfricanusAsiaticusAmericanus-PHT
13,LIBEAM,'Candidatus Liberibacter americanus',Brazilian citrus greening,en,brazilian citrus greening,LiberibacterAfricanusAsiaticusAmericanus-PHT
14,LIBEAS,'Candidatus Liberibacter asiaticus',blotchy mottle disease of citrus,en,blotchy mottle disease of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
15,LIBEAS,'Candidatus Liberibacter asiaticus',decline of citrus,en,decline of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
16,LIBEAS,'Candidatus Liberibacter asiaticus',huanglongbing,en,huanglongbing,LiberibacterAfricanusAsiaticusAmericanus-PHT
17,LIBEAS,'Candidatus Liberibacter asiaticus',leaf mottling of citrus,en,leaf mottling of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
18,LIBEAS,'Candidatus Liberibacter asiaticus',likubin,en,likubin,LiberibacterAfricanusAsiaticusAmericanus-PHT
19,LIBEAS,'Candidatus Liberibacter asiaticus',vein phloem degeneration of citrus deactivated,en,vein phloem degeneration of citrus deactivated,LiberibacterAfricanusAsiaticusAmericanus-PHT
20,LIBEAS,'Candidatus Liberibacter asiaticus',yellow branch of citrus,en,yellow branch of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
21,LIBEAS,'Candidatus Liberibacter asiaticus',yellow shoot disease,en,yellow shoot disease,LiberibacterAfricanusAsiaticusAmericanus-PHT
22,LIBEAS,'Candidatus Liberibacter asiaticus',yellow shoot of citrus,en,yellow shoot of citrus,LiberibacterAfricanusAsiaticusAmericanus-PHT
24,LIBEAS,'Candidatus Liberibacter asiaticus',黃龍病,zh,黃龍病,LiberibacterAfricanusAsiaticusAmericanus-PHT
25,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of bean,en,bacterial tan spot of bean,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
27,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial tan spot of soybean,en,bacterial tan spot of soybean,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
29,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of bean,en,bacterial wilt of bean,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
30,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of bean,en,bacterial wilt of bean,RalstoniaSolanacearum-PHT
31,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of common bean,en,bacterial wilt of common bean,RalstoniaSolanacearum-PHT
32,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacterial wilt of dry beans,en,bacterial wilt of dry beans,RalstoniaSolanacearum-PHT
33,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,vascular wilt of bean,en,vascular wilt of bean,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
34,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bactériose vasculaire du haricot,fr,bactériose vasculaire du haricot,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
35,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bactériose vasculaire du haricot,fr,bactériose vasculaire du haricot,RalstoniaSolanacearum-PHT
36,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,flétrissement bactérien du haricot,fr,flétrissement bactérien du haricot,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
37,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,flétrissement bactérien du haricot,fr,flétrissement bactérien du haricot,RalstoniaSolanacearum-PHT
38,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,bacteriosis vascular de la judía,es,bacteriosis vascular de la judía,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
39,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la judía,es,marchitez bacteriana de la judía,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
40,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la judía,es,marchitez bacteriana de la judía,RalstoniaSolanacearum-PHT
41,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la soja,es,marchitez bacteriana de la soja,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
42,CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,marchitez bacteriana de la soja,es,marchitez bacteriana de la soja,RalstoniaSolanacearum-PHT
43,ERWIST,Pantoea stewartii subsp. stewartii,bacterial leaf blight of maize,en,bacterial leaf blight of maize,PantoeaStewartii-PHT
44,ERWIST,Pantoea stewartii subsp. stewartii,bacterial wilt of maize,en,bacterial wilt of maize,PantoeaStewartii-PHT
45,ERWIST,Pantoea stewartii subsp. stewartii,bacterial wilt of maize,en,bacterial wilt of maize,RalstoniaSolanacearum-PHT
46,ERWIST,Pantoea stewartii subsp. stewartii,jackfruit bronzing,en,jackfruit bronzing,PantoeaStewartii-PHT
47,ERWIST,Pantoea stewartii subsp. stewartii,Bakterienwelke: Mais,de,bakterienwelke: mais,PantoeaStewartii-PHT
48,ERWIST,Pantoea stewartii subsp. stewartii,Bakterienwelke: Mais,de,bakterienwelke: mais,RalstoniaSolanacearum-PHT
49,ERWIST,Pantoea stewartii subsp. stewartii,flétrissement bactérien du maïs,fr,flétrissement bactérien du maïs,PantoeaStewartii-PHT
50,ERWIST,Pantoea stewartii subsp. stewartii,flétrissement bactérien du maïs,fr,flétrissement bactérien du maïs,RalstoniaSolanacearum-PHT
51,ERWIST,Pantoea stewartii subsp. stewartii,maladie de Stewart,fr,maladie de stewart,PantoeaStewartii-PHT
52,ERWIST,Pantoea stewartii subsp. stewartii,enfermedad de Stewart,es,enfermedad de stewart,PantoeaStewartii-PHT
53,ERWIST,Pantoea stewartii subsp. stewartii,marchitez bacteriana del maíz,es,marchitez bacteriana del maíz,PantoeaStewartii-PHT
54,ERWIST,Pantoea stewartii subsp. stewartii,marchitez bacteriana del maíz,es,marchitez bacteriana del maíz,RalstoniaSolanacearum-PHT
55,RALSPS,Ralstonia pseudosolanacearum,bacterial wilt,en,bacterial wilt,RalstoniaSolanacearum-PHT
56,RALSPS,Ralstonia pseudosolanacearum,doença do mal murcho,pt,doença do mal murcho,RalstoniaPseudosolanacearum-PHT
57,RALSSC,Ralstonia syzygii subsp. celebesensis,banana blood disease,en,banana blood disease,RalstoniaSyzygiiSubspCelebesensis-PHT
58,XANTOR,Xanthomonas oryzae pv. oryzae,bacterial blight of rice,en,bacterial blight of rice,XanthomonasOryzae-PHT
59,XANTOR,Xanthomonas oryzae pv. oryzae,bacterial leaf blight of rice,en,bacterial leaf blight of rice,XanthomonasOryzae-PHT
60,XANTOR,Xanthomonas oryzae pv. oryzae,kresek disease of rice,en,kresek disease of rice,XanthomonasOryzae-PHT
61,XANTOR,Xanthomonas oryzae pv. oryzae,leaf blight of rice,en,leaf blight of rice,XanthomonasOryzae-PHT
62,XANTOR,Xanthomonas oryzae pv. oryzae,bactériose des feuilles du riz,fr,bactériose des feuilles du riz,XanthomonasOryzae-PHT
63,XANTOR,Xanthomonas oryzae pv. oryzae,enfermedad bacteriana de las hojas del arroz,es,enfermedad bacteriana de las hojas del arroz,XanthomonasOryzae-PHT
64,XANTOR,Xanthomonas oryzae pv. oryzae,Бактериальный ожог риса,ru,бактериальный ожог риса,XanthomonasOryzae-PHT
65,XANTTO,Xanthomonas oryzae pv. oryzicola,bacterial leaf streak of rice,en,bacterial leaf streak of rice,XanthomonasOryzae-PHT
