,EPPO_CODE,synonym,ds_language,NCBI_TAXID,preferred_name,EFSA_PHT
0,LIBEAF,greening of citrus,en,,'Candidatus Liberibacter africanus',LiberibacterAfricanusAsiaticusAmericanus-PHT
1,LIBEAS,greening of citrus,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
2,LIBEAF,greening des agrumes,fr,,'Candidatus Liberibacter africanus',LiberibacterAfricanusAsiaticusAmericanus-PHT
3,LIBEAS,greening des agrumes,fr,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
4,LIBEAF,virescence des agrumes,fr,,'Candidatus Liberibacter africanus',LiberibacterAfricanusAsiaticusAmericanus-PHT
5,LIBEAF,enverdecimiento de los cítricos,es,,'Candidatus Liberibacter africanus',LiberibacterAfricanusAsiaticusAmericanus-PHT
6,LIBEAS,enverdecimiento de los cítricos,es,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
7,LIBEAM,Brazilian citrus greening,en,,'Candidatus Liberibacter americanus',LiberibacterAfricanusAsiaticusAmericanus-PHT
8,LIBEAS,blotchy mottle disease of citrus,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
9,LIBEAS,decline of citrus,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
10,LIBEAS,huanglongbing,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
11,LIBEAS,leaf mottling of citrus,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
12,LIBEAS,likubin,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
13,LIBEAS,vein phloem degeneration of citrus deactivated,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
14,LIBEAS,yellow branch of citrus,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
15,LIBEAS,yellow shoot disease,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
16,LIBEAS,yellow shoot of citrus,en,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
17,LIBEAS,黃龍病,zh,,'Candidatus Liberibacter asiaticus',LiberibacterAfricanusAsiaticusAmericanus-PHT
18,CORBFL,bacterial tan spot of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
19,CORBFL,bacterial tan spot of soybean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
20,CORBFL,bacterial wilt of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
21,CORBFL,bacterial wilt of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
22,CORBFL,bacterial wilt of common bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
23,CORBFL,bacterial wilt of dry beans,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
24,CORBFL,vascular wilt of bean,en,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
25,CORBFL,bactériose vasculaire du haricot,fr,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
26,CORBFL,bactériose vasculaire du haricot,fr,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
27,CORBFL,flétrissement bactérien du haricot,fr,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
28,CORBFL,flétrissement bactérien du haricot,fr,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
29,CORBFL,bacteriosis vascular de la judía,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
30,CORBFL,marchitez bacteriana de la judía,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
31,CORBFL,marchitez bacteriana de la judía,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
32,CORBFL,marchitez bacteriana de la soja,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,CurtobacteriumFlaccumfaciensPvFlaccumfaciens-PHT
33,CORBFL,marchitez bacteriana de la soja,es,,Curtobacterium flaccumfaciens pv. flaccumfaciens,RalstoniaSolanacearum-PHT
34,ERWIST,bacterial leaf blight of maize,en,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
35,ERWIST,bacterial wilt of maize,en,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
36,ERWIST,bacterial wilt of maize,en,,Pantoea stewartii subsp. stewartii,RalstoniaSolanacearum-PHT
37,ERWIST,jackfruit bronzing,en,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
38,ERWIST,Bakterienwelke: Mais,de,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
39,ERWIST,Bakterienwelke: Mais,de,,Pantoea stewartii subsp. stewartii,RalstoniaSolanacearum-PHT
40,ERWIST,flétrissement bactérien du maïs,fr,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
41,ERWIST,flétrissement bactérien du maïs,fr,,Pantoea stewartii subsp. stewartii,RalstoniaSolanacearum-PHT
42,ERWIST,maladie de Stewart,fr,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
43,ERWIST,enfermedad de Stewart,es,,Pantoea stewartii subsp. stewartii,PantoeaStewartii-PHT
